model,scenario,region,variable,unit,period,value
COPPE-COFFEE 1.0,INDC2030i_1600_V3,World,Primary Energy|Biomass,EJ/yr,2100,606.573477291178
COPPE-COFFEE 1.0,INDC2030i_1600_V3,World,Primary Energy|Biomass|w/o CCS,EJ/yr,2100,606.573477291178
COPPE-COFFEE 1.0,NPi2020_1600_V3,World,Primary Energy|Biomass,EJ/yr,2100,609.692878921143
COPPE-COFFEE 1.0,NPi2020_1600_V3,World,Primary Energy|Biomass|w/o CCS,EJ/yr,2100,609.692878921143
COPPE-COFFEE 1.0,NPi2020_400_V3,World,Primary Energy|Biomass,EJ/yr,2100,606.635535949021
COPPE-COFFEE 1.0,NPi2020_400_V3,World,Primary Energy|Biomass|w/o CCS,EJ/yr,2100,606.635535949021
India MARKAL,NPi_V3,IND,Primary Energy|Coal,EJ/yr,2025,837.274290627687
India MARKAL,NPi_V3,IND,Primary Energy|Coal,EJ/yr,2030,1147.19833763256
India MARKAL,NPi_V3,IND,Primary Energy|Coal,EJ/yr,2035,1439.4119614025
India MARKAL,NPi_V3,IND,Primary Energy|Coal,EJ/yr,2040,1760.57848476163
India MARKAL,NPi_V3,IND,Primary Energy|Coal,EJ/yr,2045,2030.71080538836
India MARKAL,NPi_V3,IND,Primary Energy|Coal,EJ/yr,2050,2262.46775580396
India MARKAL,NPi_V3,IND,Primary Energy|Coal|w/o CCS,EJ/yr,2025,837.274290627687
India MARKAL,NPi_V3,IND,Primary Energy|Coal|w/o CCS,EJ/yr,2030,1147.19833763256
India MARKAL,NPi_V3,IND,Primary Energy|Coal|w/o CCS,EJ/yr,2035,1439.4119614025
India MARKAL,NPi_V3,IND,Primary Energy|Coal|w/o CCS,EJ/yr,2040,1760.57848476163
India MARKAL,NPi_V3,IND,Primary Energy|Coal|w/o CCS,EJ/yr,2045,2030.71080538836
India MARKAL,NPi_V3,IND,Primary Energy|Coal|w/o CCS,EJ/yr,2050,2262.46775580396
India MARKAL,NPi_V3,IND,Primary Energy|Oil,EJ/yr,2040,747.979363714531
India MARKAL,NPi_V3,IND,Primary Energy|Oil,EJ/yr,2045,974.658450367823
India MARKAL,NPi_V3,IND,Primary Energy|Oil,EJ/yr,2050,1143.45084551447
India MARKAL,NPi_V3,IND,Primary Energy|Oil|w/o CCS,EJ/yr,2040,747.979363714531
India MARKAL,NPi_V3,IND,Primary Energy|Oil|w/o CCS,EJ/yr,2045,974.658450367823
India MARKAL,NPi_V3,IND,Primary Energy|Oil|w/o CCS,EJ/yr,2050,1143.45084551447
India MARKAL,NPi2020_high_V3,IND,Primary Energy|Coal,EJ/yr,2025,768.811502818382
India MARKAL,NPi2020_high_V3,IND,Primary Energy|Coal,EJ/yr,2030,945.153816757428
India MARKAL,NPi2020_high_V3,IND,Primary Energy|Coal,EJ/yr,2035,1102.33591286902
India MARKAL,NPi2020_high_V3,IND,Primary Energy|Coal,EJ/yr,2040,1241.6857743384
India MARKAL,NPi2020_high_V3,IND,Primary Energy|Coal,EJ/yr,2045,1385.97258049107
India MARKAL,NPi2020_high_V3,IND,Primary Energy|Coal,EJ/yr,2050,1533.17569504156
