"variable";"scenario";"region";"unit";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Emissions|CO2|Agriculture";"History";"BRA";"Mt CO2eq/yr";0.78;0.786;1.16;0.982;0.936;1.02;1.24;1.68;1.69;1.89;2.15;1.7;1.64;1.24;1.83;1.76;2.2;2.15;1.86;1.73;1.86;2;1.98;2.42;2.7;2.64;2.97;3.34;3.48;3.7;4.71;3.98;4.01;5.36;4.88;4.88;4.69;4.6;4.46;4.32;4.18;4.96;5.05;5.14;5.23;5.33
"Emissions|CO2|Agriculture";"History";"CAN";"Mt CO2eq/yr";0.174;0.183;0.203;0.227;0.254;0.293;0.341;0.453;0.543;0.648;0.7;0.745;0.886;1.07;1.22;1.25;1.2;1.22;1.24;1.26;1.19;1.13;1.2;1.19;1.38;1.5;1.48;1.6;1.66;1.54;1.64;1.4;1.52;1.58;1.48;1.42;1.47;1.74;1.72;1.84;1.79;2;2.33;2.68;2.5;2.68
"Emissions|CO2|Agriculture";"History";"CHN";"Mt CO2eq/yr";2.82;3.03;3.48;3.98;3.55;4.74;4.79;5.84;6.82;8.7;9.61;9.08;9.55;10.5;11.6;11.1;10.7;13;15;15.2;16.1;16.3;17.3;14.4;15.8;21.1;22.1;21.1;21.7;23.5;22.6;23.2;27.7;26.2;28.7;28.7;28.6;28.6;28.6;33.4;32.2;33;33.8;34.6;35.4;36.3
"Emissions|CO2|Agriculture";"History";"World";"Mt CO2eq/yr";43.6;45.6;48.1;49.8;50.7;54;56.8;60.6;63.4;67.9;70.7;71.9;73.8;77;81.1;83;85;87;90.6;91.9;93.7;89.3;87.7;81.9;81.2;88;90.4;91.4;93.1;95.5;95.1;95.7;100;102;106;106;106;107;107;112;115;116;120;121;123;126
"Emissions|CO2|Agriculture";"History";"EU";"Mt CO2eq/yr";12.8;12.9;13.1;13.2;13.1;13.6;13.9;14;14.6;14.7;14.6;14.8;14.6;14.7;14.5;15;15.4;15.4;14.7;15.4;15.2;12.9;11.3;10.7;10.2;11.3;11.2;11.6;11;10.7;10.5;10.2;10.2;10.1;9.81;9.37;9.08;9.35;9.04;9.35;9.05;9.46;9.41;10.1;10.1;10.3
"Emissions|CO2|Agriculture";"History";"IDN";"Mt CO2eq/yr";0.321;0.369;0.446;0.574;0.626;0.616;0.657;0.888;0.997;1.16;1.65;1.83;2.05;2;2.42;2.51;2.62;2.85;3.08;2.89;3.13;3.04;3.27;3.08;3.2;3.51;3.86;3.26;3.7;3.52;3.55;3.54;3.98;4.11;4.24;4.24;4.24;4.24;4.24;4.34;4.53;4.56;4.63;4.71;4.78;4.85
"Emissions|CO2|Agriculture";"History";"IND";"Mt CO2eq/yr";2;2.52;2.66;2.46;3.08;3.06;3.51;4.21;4.39;5.25;5.17;5.63;5.98;6.8;7.76;8.32;9.57;8.44;10.5;10.5;11.1;11.6;12.3;12.9;13.8;14.4;15.3;16;16.6;16.8;15.8;16.3;15;16;16.8;16.8;16.9;16.9;17;17.1;17.6;17.3;17.5;17.6;17.7;17.8
"Emissions|CO2|Agriculture";"History";"JPN";"Mt CO2eq/yr";0.208;0.204;0.221;0.263;0.206;0.206;0.228;0.224;0.212;0.224;0.602;0.66;0.707;0.722;0.712;0.683;0.69;0.646;0.653;0.649;0.609;0.548;0.493;0.524;0.343;0.359;0.35;0.372;0.377;0.37;0.443;0.368;0.408;0.43;0.402;0.411;0.383;0.5;0.44;0.39;0.403;0.415;0.52;0.578;0.559;0.559
"Emissions|CO2|Agriculture";"History";"RUS";"Mt CO2eq/yr";5.94;6.23;6.5;6.79;7.07;7.36;7.59;7.86;8.11;8.33;8.64;8.89;9.18;9.52;9.76;10.1;10.3;10.6;10.8;10.9;11.1;10.2;9.06;6.65;3.87;2.86;2.25;1.7;1.3;1.45;1.63;1.62;1.64;1.67;1.74;1.73;1.89;1.86;1.77;1.66;1.87;1.92;2.02;2.01;2.06;2.08
"Emissions|CO2|Agriculture";"History";"USA";"Mt CO2eq/yr";6.36;6.34;6.33;6.35;6.37;6.52;6.61;6.61;6.66;6.63;6.66;6.64;6.59;6.81;6.76;7.03;6.97;6.95;6.95;7.07;7.08;7.32;6.86;6.42;6.82;7.05;6.96;6.97;7.67;7.47;7.54;7.82;8.55;8.26;7.56;7.85;7.88;8.22;8.64;7.22;8.56;7.97;10.2;8.41;8.39;8.84
