"model";"scenario";"Category";"Scope";"region";"Baseline";"variable";"value";"unit";"period"
"AIM V2.1";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";13356.5325;"MtCO2";2050
"COPPE-COFFEE 1.0";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";16230.185999;"MtCO2";2050
"DNE21+ V.14";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";23610.0313615158;"MtCO2";2050
"GEM-E3";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";14010.473871627;"MtCO2";2050
"GEM-E3_EU";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";-4016.42309628085;"MtCO2";2050
"IMAGE 3.0";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";11750.9544383241;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";16929.2471694416;"MtCO2";2050
"POLES CDL";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";11953.8267705664;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";13398.1792;"MtCO2";2050
"WITCH2016";"INDCi_V4";"NDC";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";15881.7074284843;"MtCO2";2050
"AIM V2.1";"NoPolicy_V4";"No policy";"global";"RoW";"-";"Emissions|CO2";13456.0388;"MtCO2";2050
"COPPE-COFFEE 1.0";"NoPolicy_V4";"No policy";"global";"RoW";"-";"Emissions|CO2";16194.758716;"MtCO2";2050
"DNE21+ V.14";"NoPolicy_V4";"No policy";"global";"RoW";"-";"Emissions|CO2";23668.4271331448;"MtCO2";2050
"IMAGE 3.0";"NoPolicy_V4";"No policy";"global";"RoW";"-";"Emissions|CO2";11760.2004964711;"MtCO2";2050
"MESSAGEix-GLOBIOM_1.0";"NoPolicy_V4";"No policy";"global";"RoW";"-";"Emissions|CO2";16929.2471694416;"MtCO2";2050
"POLES CDL";"NoPolicy_V4";"No policy";"global";"RoW";"-";"Emissions|CO2";11953.8240850195;"MtCO2";2050
"REMIND-MAgPIE 1.7-3.0";"NoPolicy_V4";"No policy";"global";"RoW";"-";"Emissions|CO2";13341.8239;"MtCO2";2050
"WITCH2016";"NoPolicy_V4";"No policy";"global";"RoW";"-";"Emissions|CO2";15881.7074284843;"MtCO2";2050
"AIM V2.1";"NPi_V4";"National policies";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";13361.2156;"MtCO2";2050
"COPPE-COFFEE 1.0";"NPi_V4";"National policies";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";16938.95015;"MtCO2";2050
"DNE21+ V.14";"NPi_V4";"National policies";"global";"RoW";"NoPolicy_V4";"Emissions|CO2";23662.8428971348;"MtCO2";2050
