scenario;Category;Baseline;model;region;period;Scope;value;unit;variable
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2010;Global;195;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2015;Global;203;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2020;Global;211;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2025;Global;217;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2030;Global;223;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2035;Global;227;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2040;Global;230;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2045;Global;232;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2050;Global;232;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2060;Global;229;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2070;Global;222;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2080;Global;212;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2090;Global;200;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;BRA;2100;Global;188;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2010;Global;1349;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2015;Global;1371;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2020;Global;1387;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2025;Global;1394;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2030;Global;1390;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2035;Global;1375;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2040;Global;1349;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2045;Global;1315;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2050;Global;1273;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2060;Global;1174;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2070;Global;1068;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2080;Global;962;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2090;Global;862;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;CHN;2100;Global;777;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2010;Global;1225;million;Population
