region;variable;value;unit;baseyear;period;class
ARG;Emissions|Kyoto Gases;110;%;2010;2030;INDC target relative to 2010 including LULUCF
AUS;Emissions|Kyoto Gases;70;%;2010;2030;INDC target relative to 2010 including LULUCF
BRA;Emissions|Kyoto Gases;80;%;2010;2025;INDC target relative to 2010 including LULUCF
CAN;Emissions|Kyoto Gases;56;%;2010;2030;INDC target relative to 2010 including LULUCF
EU;Emissions|Kyoto Gases;68;%;2010;2030;INDC target relative to 2010 including LULUCF
IDN;Emissions|Kyoto Gases;79;%;2010;2030;INDC target relative to 2010 including LULUCF
JPN;Emissions|Kyoto Gases;89;%;2010;2030;INDC target relative to 2010 including LULUCF
MEX;Emissions|Kyoto Gases;85;%;2010;2030;INDC target relative to 2010 including LULUCF
RUS;Emissions|Kyoto Gases;106;%;2010;2030;INDC target relative to 2010 including LULUCF
SAF;Emissions|Kyoto Gases;97;%;2010;2030;INDC target relative to 2010 including LULUCF
TUR;Emissions|Kyoto Gases;254;%;2010;2030;INDC target relative to 2010 including LULUCF
USA;Emissions|Kyoto Gases;68;%;2010;2025;INDC target relative to 2010 including LULUCF
ARG;Emissions|Kyoto Gases|Excl. AFOLU CO2;107;%;2010;2030;INDC target relative to 2010 excluding LULUCF
AUS;Emissions|Kyoto Gases|Excl. AFOLU CO2;64;%;2010;2030;INDC target relative to 2010 excluding LULUCF
BRA;Emissions|Kyoto Gases|Excl. AFOLU CO2;117;%;2010;2025;INDC target relative to 2010 excluding LULUCF
CAN;Emissions|Kyoto Gases|Excl. AFOLU CO2;74;%;2010;2030;INDC target relative to 2010 excluding LULUCF
EU;Emissions|Kyoto Gases|Excl. AFOLU CO2;69;%;2010;2030;INDC target relative to 2010 excluding LULUCF
IDN;Emissions|Kyoto Gases|Excl. AFOLU CO2;148;%;2010;2030;INDC target relative to 2010 excluding LULUCF
JPN;Emissions|Kyoto Gases|Excl. AFOLU CO2;85;%;2010;2030;INDC target relative to 2010 excluding LULUCF
KOR;Emissions|Kyoto Gases|Excl. AFOLU CO2;84;%;2010;2030;INDC target relative to 2010 excluding LULUCF
MEX;Emissions|Kyoto Gases|Excl. AFOLU CO2;87;%;2010;2030;INDC target relative to 2010 excluding LULUCF
RUS;Emissions|Kyoto Gases|Excl. AFOLU CO2;119;%;2010;2030;INDC target relative to 2010 excluding LULUCF
SAR;Emissions|Kyoto Gases|Excl. AFOLU CO2;162;%;2010;2030;INDC target relative to 2010 excluding LULUCF
SAF;Emissions|Kyoto Gases|Excl. AFOLU CO2;103;%;2010;2030;INDC target relative to 2010 excluding LULUCF
TUR;Emissions|Kyoto Gases|Excl. AFOLU CO2;207;%;2010;2030;INDC target relative to 2010 excluding LULUCF
USA;Emissions|Kyoto Gases|Excl. AFOLU CO2;79;%;2010;2025;INDC target relative to 2010 excluding LULUCF
ARG;Emissions|Kyoto Gases;112;%;2005;2030;INDC target relative to 2005 including LULUCF
AUS;Emissions|Kyoto Gases;67;%;2005;2030;INDC target relative to 2005 including LULUCF
BRA;Emissions|Kyoto Gases;62;%;2005;2025;INDC target relative to 2005 including LULUCF
BRA;Emissions|Kyoto Gases;57;%;2005;2030;Indicative INDC target 2030 relative to 2005 including LULUCF
CAN;Emissions|Kyoto Gases;51;%;2005;2030;INDC target relative to 2005 including LULUCF
EU;Emissions|Kyoto Gases;62;%;2005;2030;INDC target relative to 2005 including LULUCF
IDN;Emissions|Kyoto Gases;93;%;2005;2030;INDC target relative to 2005 including LULUCF
JPN;Emissions|Kyoto Gases;75;%;2005;2030;INDC target relative to 2005 including LULUCF
MEX;Emissions|Kyoto Gases;90;%;2005;2030;INDC target relative to 2005 including LULUCF
RUS;Emissions|Kyoto Gases;102;%;2005;2030;INDC target relative to 2005 including LULUCF
SAF;Emissions|Kyoto Gases;105;%;2005;2030;INDC target relative to 2005 including LULUCF
TUR;Emissions|Kyoto Gases;294;%;2005;2030;INDC target relative to 2005 including LULUCF
USA;Emissions|Kyoto Gases;65;%;2005;2025;INDC target relative to 2005 including LULUCF
ARG;Emissions|Kyoto Gases|Excl. AFOLU CO2;107;%;2005;2030;INDC target relative to 2005 excluding LULUCF
AUS;Emissions|Kyoto Gases|Excl. AFOLU CO2;66;%;2005;2030;INDC target relative to 2005 excluding LULUCF
BRA;Emissions|Kyoto Gases|Excl. AFOLU CO2;129;%;2005;2025;INDC target relative to 2005 excluding LULUCF
