Category;region;variable;approach;range;value
2C;BRA;Emissions|Kyoto Gases;GDR;min;2076
2C;BRA;Emissions|Kyoto Gases;CPC;max;2100
2C;CAN;Emissions|Kyoto Gases;GDR;min;2048
2C;CAN;Emissions|Kyoto Gases;EPC;max;2083
2C;CHN;Emissions|Kyoto Gases;CPC;min;2057
2C;CHN;Emissions|Kyoto Gases;EPC;max;2083
2C;EU28;Emissions|Kyoto Gases;GDR;min;2044
2C;EU28;Emissions|Kyoto Gases;EPC;max;2083
2C;IDN;Emissions|Kyoto Gases;CAP;min;2081
2C;IDN;Emissions|Kyoto Gases;CPC;max;2100
2C;IND;Emissions|Kyoto Gases;CAP;min;2082
2C;IND;Emissions|Kyoto Gases;CPC;max;2100
2C;JPN;Emissions|Kyoto Gases;GDR;min;2038
2C;JPN;Emissions|Kyoto Gases;EPC;max;2083
2C;RUS;Emissions|Kyoto Gases;CPC;min;2051
2C;RUS;Emissions|Kyoto Gases;EPC;max;2083
2C;TUR;Emissions|Kyoto Gases;GDR;min;2059
2C;TUR;Emissions|Kyoto Gases;CPC;max;2100
2C;USA;Emissions|Kyoto Gases;GDR;min;2045
2C;USA;Emissions|Kyoto Gases;EPC;max;2083
1.5C;BRA;Emissions|Kyoto Gases;CAP;min;2068
1.5C;BRA;Emissions|Kyoto Gases;CPC;max;2100
1.5C;CAN;Emissions|Kyoto Gases;GDR;min;2039
1.5C;CAN;Emissions|Kyoto Gases;CER;max;2075
1.5C;CHN;Emissions|Kyoto Gases;CPC;min;2048
1.5C;CHN;Emissions|Kyoto Gases;CER;max;2075
1.5C;EU28;Emissions|Kyoto Gases;GDR;min;2034
1.5C;EU28;Emissions|Kyoto Gases;CER;max;2075
1.5C;IDN;Emissions|Kyoto Gases;CAP;min;2069
1.5C;IDN;Emissions|Kyoto Gases;CPC;max;2100
1.5C;IND;Emissions|Kyoto Gases;CAP;min;2073
1.5C;IND;Emissions|Kyoto Gases;CPC;max;2100
1.5C;JPN;Emissions|Kyoto Gases;GDR;min;2029
1.5C;JPN;Emissions|Kyoto Gases;CER;max;2075
1.5C;RUS;Emissions|Kyoto Gases;CPC;min;2042
1.5C;RUS;Emissions|Kyoto Gases;CER;max;2075
1.5C;TUR;Emissions|Kyoto Gases;GDR;min;2050
1.5C;TUR;Emissions|Kyoto Gases;CPC;max;2100
1.5C;USA;Emissions|Kyoto Gases;GDR;min;2036
1.5C;USA;Emissions|Kyoto Gases;CER;max;2075
