scenario,Category,Baseline
CD-LINKS-NoPOL_V4,NoPOL,-
CD-LINKS-NoPolicy_V4,NoPOL,-
CD-LINKS-NPi_V4,NPi,CD-LINKS-NoPolicy_V4
CD-LINKS-NPip_V4,NPip,CD-LINKS-NoPolicy_V4
CD-LINKS-INDC_V4,INDC,CD-LINKS-NoPOL_V4
CD-LINKS-INDCi_V4,INDC,CD-LINKS-NoPolicy_V4
CD-LINKS-INDCip_V4,INDCip,CD-LINKS-NoPolicy_V4
CD-LINKS-INDC2030i_400_V4,2030_verylow,CD-LINKS-NoPolicy_V4
CD-LINKS-INDC2030ip_400_V4,INDC2030ip_400,CD-LINKS-NoPolicy_V4
CD-LINKS-NPi2020_400_V4,2020_verylow,CD-LINKS-NoPolicy_V4
CD-LINKS-NPi2020_verylow_V4,2020_verylow,CD-LINKS-NoPolicy_V4
CD-LINKS-NPi2020_low_V4,2020_low,CD-LINKS-NoPOL_V4
CD-LINKS-NPi2020_1000_V4,2020_low,CD-LINKS-NoPolicy_V4
CD-LINKS-NPi2020_high_V4,2020_high,CD-LINKS-NoPOL_V4
CD-LINKS-NPi2020_1600_V4,2020_high,CD-LINKS-NoPolicy_V4
CD-LINKS-INDC2030_low_V4,2030_low,CD-LINKS-NoPOL_V4
CD-LINKS-INDC2030i_1000_V4,2030_low,CD-LINKS-NoPolicy_V4
CD-LINKS-INDC2030ip_1000_V4,INDC2030ip_1000,CD-LINKS-NoPolicy_V4
CD-LINKS-INDC2030_high_V4,2030_high,CD-LINKS-NoPOL_V4
CD-LINKS-INDC2030i_1600_V4,2030_high,CD-LINKS-NoPolicy_V4
CD-LINKS-INDC2030ip_1600_V4,INDC2030ip_1600,CD-LINKS-NoPolicy_V4
