scenario,Category,Baseline
NoPOL_V4,NoPOL,-
NoPolicy_V4,NoPOL,-
NPi_V4,NPi,NoPolicy_V4
NPip_V4,NPip,NoPolicy_V4
INDC_V4,INDC,NoPOL_V4
INDCi_V4,INDC,NoPolicy_V4
INDCip_V4,INDCip,NoPolicy_V4
INDC2030i_400_V4,2030_verylow,NoPolicy_V4
INDC2030ip_400_V4,INDC2030ip_400,NoPolicy_V4
NPi2020_400_V4,2020_verylow,NoPolicy_V4
NPi2020_verylow_V4,2020_verylow,NoPolicy_V4
NPi2020_low_V4,2020_low,NoPOL_V4
NPi2020_1000_V4,2020_low,NoPolicy_V4
NPi2020_high_V4,2020_high,NoPOL_V4
NPi2020_1600_V4,2020_high,NoPolicy_V4
INDC2030_low_V4,2030_low,NoPOL_V4
INDC2030i_1000_V4,2030_low,NoPolicy_V4
INDC2030ip_1000_V4,INDC2030ip_1000,NoPolicy_V4
INDC2030_high_V4,2030_high,NoPOL_V4
INDC2030i_1600_V4,2030_high,NoPolicy_V4
INDC2030ip_1600_V4,INDC2030ip_1600,NoPolicy_V4
