Scenario;Category;Baseline
MILES-AMPERE2-550-FullTech-HST;500-550;MILES-AMPERE2-Base-FullTech-OPT
MILES-AMPERE2-550-FullTech-LST;500-550;MILES-AMPERE2-Base-FullTech-OPT
MILES-AMPERE2-550-FullTech-OPT;500-550;MILES-AMPERE2-Base-FullTech-OPT
MILES-AMPERE2-550-LowEI-OPT;500-550;MILES-AMPERE2-Base-LowEI-OPT
MILES-AMPERE3-550;500-550;MILES-AMPERE3-Base
MILES-AMPERE3-CF550;500-550;MILES-AMPERE3-Base
MILES-EMF27-550-FullTech;500-550;MILES-EMF27-Base-FullTech
MILES-EMF27-550-LowEI;500-550;MILES-EMF27-Base-LowEI
MILES-LIMITS-500;500-550;MILES-LIMITS-Base
MILES-LIMITS-RefPol2030-500;500-550;MILES-LIMITS-Base
MILES-LIMITS-RefPol-500;Global 500;MILES-LIMITS-RefPol
MILES-LIMITS-StrPol-500;500-550;MILES-LIMITS-Base
Baseline;Baseline;-
MILES-AMPERE2-Base-FullTech-OPT;Baseline;-
MILES-AMPERE2-Base-LowEI-OPT;Baseline;-
MILES-AMPERE3-Base;Baseline;-
MILES-AMPERE3-Base-EU;Baseline;-
MILES-AMPERE3-Base-EUback;Baseline;-
MILES-EMF27-Base-FullTech;Baseline;-
MILES-EMF27-Base-LowEI;Baseline;-
MILES-LIMITS-Base;Baseline;-
SSP1-Ref-SPA0;Baseline;-
SSP2-Ref-SPA0;Baseline;-
SSP3-Ref-SPA0;Baseline;-
SSP1-26-SPA1;Optimal 450;SSP1-Ref-SPA0
SSP2-26-SPA1;Optimal 450;SSP2-Ref-SPA0
SSP3-26-SPA1;Optimal 450;SSP3-Ref-SPA0
MILES-AMPERE2-450-FullTech-HST;Delayed 450;MILES-AMPERE2-Base-FullTech-OPT
MILES-AMPERE2-450-FullTech-LST;Delayed 450;MILES-AMPERE2-Base-FullTech-OPT
MILES-AMPERE2-450-LowEI-HST;Delayed 450;MILES-AMPERE2-Base-LowEI-OPT
MILES-AMPERE2-450-LowEI-LST;Delayed 450;MILES-AMPERE2-Base-LowEI-OPT
MILES-AMPERE2-450-LowEI-OPT;Delayed 450;MILES-AMPERE2-Base-LowEI-OPT
MILES-AMPERE3-450;Delayed 450;MILES-AMPERE3-Base
MILES-LIMITS-RefPol-450;Global 450;MILES-LIMITS-RefPol
MILES-LIMITS-RefPol-450-EE;Delayed 450;MILES-LIMITS-Base
MILES-LIMITS-RefPol-450-PC;Delayed 450;MILES-LIMITS-Base
MILES-LIMITS-StrPol-450;Delayed 450;MILES-LIMITS-Base
MILES-AMPERE2-450-Conv-HST;Limited;MILES-AMPERE2-Base-Conv-OPT
MILES-AMPERE2-450-Conv-LST;Limited;MILES-AMPERE2-Base-Conv-OPT
MILES-AMPERE2-450-Conv-OPT;Limited;MILES-AMPERE2-Base-Conv-OPT
MILES-AMPERE2-450-EERE-OPT;Limited;MILES-AMPERE2-Base-EERE-OPT
MILES-AMPERE2-450-LimBio-HST;Limited;MILES-AMPERE2-Base-LimBio-OPT
MILES-AMPERE2-450-LimBio-LST;Limited;MILES-AMPERE2-Base-LimBio-OPT
MILES-AMPERE2-450-LimBio-OPT;Limited;MILES-AMPERE2-Base-LimBio-OPT
MILES-AMPERE2-450-LimSW-HST;Limited;MILES-AMPERE2-Base-LimSW-OPT
MILES-AMPERE2-450-LimSW-LST;Limited;MILES-AMPERE2-Base-LimSW-OPT
MILES-AMPERE2-450-LimSW-OPT;Limited;MILES-AMPERE2-Base-LimSW-OPT
MILES-AMPERE2-450-NucOff-HST;Limited;MILES-EMF27-450-Conv
MILES-AMPERE2-450-NucOff-LST;Limited;MILES-EMF27-450-Conv
MILES-AMPERE2-450-NucOff-OPT;Limited;MILES-EMF27-450-Conv
MILES-AMPERE2-550-Conv-OPT;Limited;MILES-AMPERE2-Base-Conv-OPT
MILES-AMPERE2-550-EERE-OPT;Limited;MILES-AMPERE2-Base-EERE-OPT
MILES-AMPERE2-550-LimBio-OPT;Limited;MILES-AMPERE2-Base-LimBio-OPT
MILES-AMPERE2-550-LimSW-OPT;Limited;MILES-AMPERE2-Base-LimSW-OPT
MILES-AMPERE2-550-NoCCS-OPT;Limited;MILES-AMPERE2-Base-FullTech-OPT
MILES-AMPERE2-550-NucOff-OPT;Limited;MILES-AMPERE2-Base-NucOff-OPT
MILES-AMPERE2-Base-Conv-OPT;Limited;-
MILES-AMPERE2-Base-EERE-OPT;Limited;-
MILES-AMPERE2-Base-LimBio-OPT;Limited;-
MILES-AMPERE2-Base-LimSW-OPT;Limited;-
MILES-AMPERE2-Base-NucOff-OPT;Limited;-
MILES-EMF27-450-Conv;Limited;MILES-EMF27-Base-Conv
MILES-EMF27-450-EERE;Limited;MILES-EMF27-Base-EERE
MILES-EMF27-450-LimBio;Limited;MILES-EMF27-Base-LimBio
MILES-EMF27-450-LimSW;Limited;MILES-EMF27-Base-LimSW
MILES-EMF27-450-NoCCS;Limited;MILES-EMF27-Base-LimTech
MILES-EMF27-450-NucOff;Limited;MILES-EMF27-Base-NucOff
MILES-EMF27-550-Conv;Limited;MILES-EMF27-Base-Conv
MILES-EMF27-550-EERE;Limited;MILES-EMF27-Base-EERE
MILES-EMF27-550-LimBio;Limited;MILES-EMF27-Base-LimBio
MILES-EMF27-550-LimSW;Limited;MILES-EMF27-Base-LimSW
MILES-EMF27-550-LimTech;Limited;MILES-EMF27-Base-LimTech
MILES-EMF27-550-NoCCS;Limited;MILES-EMF27-Base-FullTech
MILES-EMF27-550-NucOff;Limited;MILES-EMF27-Base-NucOff
MILES-EMF27-Base-Conv;Limited;-
MILES-EMF27-Base-EERE;Limited;-
MILES-EMF27-Base-LimBio;Limited;-
MILES-EMF27-Base-LimSW;Limited;-
MILES-EMF27-Base-LimTech;Limited;-
MILES-EMF27-Base-NucOff;Limited;-
MILES-AMPERE2-450-FullTech-OPT;Optimal 450;MILES-AMPERE2-Base-FullTech-OPT
MILES-AMPERE2-450-NoCCS-OPT;Limited;MILES-AMPERE2-Base-FullTech-OPT
MILES-AMPERE3-CF450;Optimal 450;MILES-AMPERE3-Base
MILES-EMF27-450-FullTech;Optimal 450;MILES-EMF27-Base-FullTech
MILES-EMF27-450-LowEI;Limited;MILES-EMF27-Base-LowEI
MILES-LIMITS-450;Optimal 450;MILES-LIMITS-Base
MILES-AMPERE3-450P-CE;Reference;MILES-AMPERE3-Base
MILES-AMPERE3-450P-EU;Reference;MILES-AMPERE3-Base
MILES-AMPERE3-550P-EU;Reference;MILES-AMPERE3-Base
MILES-AMPERE3-CF450P-EU;Reference;MILES-AMPERE3-Base
MILES-AMPERE3-RefP-CE;Reference;MILES-AMPERE3-Base
MILES-AMPERE3-RefP-CEback;Reference;MILES-AMPERE3-Base
MILES-AMPERE3-RefP-EU;Reference;MILES-AMPERE3-Base
MILES-AMPERE3-RefP-EUback;Reference;MILES-AMPERE3-Base
MILES-AMPERE3-RefPol;Reference;MILES-AMPERE3-Base
MILES-LIMITS-RefPol;Baseline;MILES-LIMITS-Base
ROSEC455050;Global 450;ROSECREF
ROSECREF;Baseline;-
MILES-GHG-40-80;Global 450;MILES-Reference
MILES-Reference;Baseline;-
BC0;Baseline;-
BC50;Global 450;Baseline
INDC Scenario;Reference;JPN_MILES2_REF
INDC scenario;Reference;JPN_MILES2_REF
