scenario;Category;Baseline
NoPOL_V2;NoPOL;-
NoPolicy_V2;NoPOL;-
NPi_V2;NPi;NoPolicy_V2
NPip_V2;NPip;NoPolicy_V2
INDC_V2;INDC;NoPOL_V2
INDCi_V2;INDC;NoPolicy_V2
INDCip_V2;INDCip;NoPolicy_V2
INDC2030i_400_V2;2030_verylow;NoPolicy_V2
INDC2030ip_400_V2;INDC2030ip_400;NoPolicy_V2
NPi2020_400_V2;2020_verylow;NoPolicy_V2
NPi2020_verylow_V2;2020_verylow;NoPolicy_V2
NPi2020_low_V2;2020_low;NoPOL_V2
NPi2020_1000_V2;2020_low;NoPolicy_V2
NPi2020_high_V2;2020_high;NoPOL_V2
NPi2020_1600_V2;2020_high;NoPolicy_V2
INDC2030_low_V2;2030_low;NoPOL_V2
INDC2030i_1000_V2;2030_low;NoPolicy_V2
INDC2030ip_1000_V2;INDC2030ip_1000;NoPolicy_V2
INDC2030_high_V2;2030_high;NoPOL_V2
INDC2030i_1600_V2;2030_high;NoPolicy_V2
INDC2030ip_1600_V2;INDC2030ip_1600;NoPolicy_V2
diagnostic_V2;diagnostic;NPi_V2
