scenario;Category;Baseline
NoPOL;NoPOL;-
NoPolicy;NoPOL;-
REF;REF;NoPOL
Ref;Ref;NoPOL
Reference;Reference;NoPOL
NPi;NPi;NoPolicy
NPip;NPip;NoPolicy
INDC;INDC;NoPOL
INDCi;INDC;NoPolicy
INDCip;INDCip;NoPolicy
INDC2030i_400;2030_verylow;NoPolicy
INDC2030ip_400;INDC2030ip_400;NoPolicy
NPi2020_400;2020_verylow;NoPolicy
NPi2020_verylow;2020_verylow;NoPolicy
NPi2020_low;2020_low;NoPOL
NPi2020_1000;2020_low;NoPolicy
NPi2020_high;2020_high;NoPOL
NPi2020_1600;2020_high;NoPolicy
INDC2030_low;2030_low;NoPOL
INDC2030i_1000;2030_low;NoPolicy
INDC2030ip_1000;INDC2030ip_1000;NoPolicy
INDC2030_high;2030_high;NoPOL
INDC2030i_1600;2030_high;NoPolicy
INDC2030ip_1600;INDC2030ip_1600;NoPolicy
ESO;ESO;NPi
diagnostic;diagnostic;NPi
