scenario,Category,Baseline
NoPOL_V3,NoPOL,-
NoPolicy_V3,NoPOL,-
NPi_V3,NPi,NoPolicy_V3
NPip_V3,NPip,NoPolicy_V3
INDC_V3,INDC,NoPOL_V3
INDCi_V3,INDC,NoPolicy_V3
INDCip_V3,INDCip,NoPolicy_V3
INDC2030i_400_V3,2030_verylow,NoPolicy_V3
INDC2030ip_400_V3,INDC2030ip_400,NoPolicy_V3
NPi2020_400_V3,2020_verylow,NoPolicy_V3
NPi2020_verylow_V3,2020_verylow,NoPolicy_V3
NPi2020_low_V3,2020_low,NoPOL_V3
NPi2020_1000_V3,2020_low,NoPolicy_V3
NPi2020_high_V3,2020_high,NoPOL_V3
NPi2020_1600_V3,2020_high,NoPolicy_V3
INDC2030_low_V3,2030_low,NoPOL_V3
INDC2030i_1000_V3,2030_low,NoPolicy_V3
INDC2030ip_1000_V3,INDC2030ip_1000,NoPolicy_V3
INDC2030_high_V3,2030_high,NoPOL_V3
INDC2030i_1600_V3,2030_high,NoPolicy_V3
INDC2030ip_1600_V3,INDC2030ip_1600,NoPolicy_V3
